id_notion;mot;mot_normalise;id_theme;theme;categorie;definition;a_retenir;ne_pas_confondre;voir_aussi;chapitre;lettre;groupe_alphabetique;mots_cles;id_ecran;actif
GLO0092;Médecin traitant;medecin traitant;T5;Vivre dans la société française;LA SANTÉ;Médecin choisi par le patient pour assurer son suivi médical.;Le déclarer permet un meilleur remboursement des soins.;;Assurance maladie;Chapitre 1;M;M–P;"assurance maladie; medecin traitant";SCR_GLO_0092;Oui
GLO0093;Ministre;ministre;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;"Un ministre est membre du Gouvernement.
Il est responsable d'un domaine particulier (éducation, santé, intérieur...).";Chaque ministre dirige un ministère.;;Gouvernement;Chapitre 1;M;M–P;"gouvernement; ministre";SCR_GLO_0093;Oui
GLO0094;Mont-Saint-Michel;mont saint michel;T4;Histoire, géographie, patrimoine et culture;LE PATRIMOINE FRANÇAIS;Îlot rocheux situé en Normandie sur lequel est construite une abbaye.;Il est inscrit au patrimoine mondial de l'UNESCO.;;UNESCO;Chapitre 3;M;M–P;"mont saint michel; unesco";SCR_GLO_0094;Oui
GLO0095;Musée du Louvre;musee du louvre;T4;Histoire, géographie, patrimoine et culture;LE PATRIMOINE FRANÇAIS;Plus grand musée d'art de France situé à Paris.;Il abrite notamment la Joconde.;;Paris;Chapitre 3;M;M–P;"musee du louvre; paris";SCR_GLO_0095;Oui
GLO0096;Mutilations sexuelles féminines;mutilations sexuelles feminines;T3;Droits et devoirs;LES VIOLENCES;Interventions consistant à retirer partiellement ou totalement les organes génitaux féminins sans raison médicale.;Elles sont interdites et sévèrement punies en France.;;Violence;Chapitre 2;M;M–P;"mutilations sexuelles feminines; violence";SCR_GLO_0096;Oui
GLO0097;Naturalisation;naturalisation;T5;Vivre dans la société française;LES DÉMARCHES ADMINISTRATIVES;Procédure permettant à un étranger d'acquérir la nationalité française sous certaines conditions.;La naturalisation n'est pas automatique.;;Nationalité française;Chapitre 5;N;M–P;"nationalite francaise; naturalisation";SCR_GLO_0097;Oui
GLO0098;Neutralité;neutralite;T1;Principes et valeurs de la République;LES PRINCIPES RÉPUBLICAINS;Obligation pour les services publics de traiter chacun de manière égale sans favoriser une religion ou une conviction.;La neutralité concerne principalement les institutions et les agents publics.;;Laïcité;Chapitre 4;N;M–P;"laicite; neutralite";SCR_GLO_0098;Oui
GLO0099;Ordre public;ordre public;T3;Droits et devoirs;LES DEVOIRS;Ensemble des règles garantissant la sécurité, la tranquillité et la salubrité publiques.;L'ordre public permet le bon fonctionnement de la société.;;"Police; Gendarmerie";Chapitre 2;O;M–P;"gendarmerie; ordre public; police";SCR_GLO_0099;Oui
GLO0100;Outre-mer;outre mer;T4;Histoire, géographie, patrimoine et culture;LA GÉOGRAPHIE DE LA FRANCE;Ensemble des territoires français situés hors du continent européen.;Ils font pleinement partie de la République française.;;"Guyane; Guadeloupe; Martinique; La Réunion; Mayotte";Chapitre 2;O;M–P;"guadeloupe; guyane; la reunion; martinique; mayotte; outre mer";SCR_GLO_0100;Oui
GLO0101;Parlement;parlement;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;Le Parlement vote les lois et contrôle l'action du Gouvernement.;Il comprend deux assemblées.;;"Assemblée nationale; Sénat";Chapitre 2;P;M–P;"assemblee nationale; parlement; senat";SCR_GLO_0101;Oui
GLO0102;Parlement européen;parlement europeen;T2;Système institutionnel et politique français;UNION EUROPÉENNE;Institution européenne composée de députés élus par les citoyens des États membres.;Il participe à l'adoption des lois européennes.;;Député européen;Chapitre 5;P;M–P;"depute europeen; parlement europeen";SCR_GLO_0102;Oui
GLO0103;Patrimoine;patrimoine;T4;Histoire, géographie, patrimoine et culture;LE PATRIMOINE FRANÇAIS;Ensemble des biens culturels, historiques et naturels transmis de génération en génération.;Le patrimoine est protégé et valorisé.;;UNESCO;Chapitre 3;P;M–P;"patrimoine; unesco";SCR_GLO_0103;Oui
GLO0104;Police;police;T3;Droits et devoirs;LES DEVOIRS;Force civile chargée de protéger les personnes et de faire respecter la loi.;Elle intervient principalement dans les villes.;;Gendarmerie;Chapitre 2;P;M–P;"gendarmerie; police";SCR_GLO_0104;Oui
GLO0105;Préfecture;prefecture;T5;Vivre dans la société française;LES SERVICES PUBLICS;Administration représentant l'État dans un département.;Elle traite notamment certaines démarches liées au séjour des étrangers.;;Préfet;Chapitre 5;P;M–P;"prefecture; prefet";SCR_GLO_0105;Oui
GLO0106;Préfet;prefet;T2;Système institutionnel et politique français;COLLECTIVITÉS TERRITORIALES;Le préfet représente l'État dans un département ou une région.;Il est nommé par le Gouvernement.;Le préfet n'est pas élu.;"État; Maire";Chapitre 3;P;M–P;"etat; maire; prefet";SCR_GLO_0106;Oui
GLO0107;Premier ministre;premier ministre;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;Le Premier ministre dirige l'action du Gouvernement.;Il coordonne le travail des ministres.;"Le Président dirige l'État.
Le Premier ministre dirige le Gouvernement.";Gouvernement;Chapitre 1;P;M–P;"gouvernement; premier ministre";SCR_GLO_0107;Oui
GLO0108;Première Guerre mondiale;premiere guerre mondiale;T4;Histoire, géographie, patrimoine et culture;L'HISTOIRE DE FRANCE;Conflit mondial de 1914 à 1918.;La France fait partie des pays vainqueurs.;;Seconde Guerre mondiale;Chapitre 1;P;M–P;"premiere guerre mondiale; seconde guerre mondiale";SCR_GLO_0108;Oui
GLO0109;Président de la République;president de la republique;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;Le Président de la République est le chef de l'État.;Il est élu au suffrage universel direct pour cinq ans.;"Le Président est le chef de l'État.
Le Premier ministre dirige l'action du Gouvernement.";"Gouvernement; Premier ministre";Chapitre 1;P;M–P;"gouvernement; premier ministre; president de la republique";SCR_GLO_0109;Oui
GLO0110;Présomption d'innocence;presomption d innocence;T3;Droits et devoirs;LES DROITS FONDAMENTAUX;Toute personne est considérée innocente tant qu'elle n'a pas été reconnue coupable par un tribunal.;La culpabilité doit être prouvée.;;Justice;Chapitre 1;P;M–P;"justice; presomption d innocence";SCR_GLO_0110;Oui
GLO0111;Procuration;procuration;T2;Système institutionnel et politique français;LES ÉLECTIONS;Autorisation donnée à une autre personne pour voter à sa place.;Elle permet de voter en cas d'absence.;;Vote;Chapitre 4;P;M–P;"procuration; vote";SCR_GLO_0111;Oui
GLO0112;Propriétaire;proprietaire;T5;Vivre dans la société française;LE LOGEMENT;Personne qui possède un logement.;Le propriétaire peut louer son logement.;;Bail;Chapitre 3;P;M–P;"bail; proprietaire";SCR_GLO_0112;Oui
GLO0113;Prostitution;prostitution;T3;Droits et devoirs;LES VIOLENCES;Échange d'un acte sexuel contre une rémunération.;Le proxénétisme et le recours à la prostitution sont encadrés par la loi.;;Traite des êtres humains;Chapitre 2;P;M–P;"prostitution; traite des etres humains";SCR_GLO_0113;Oui
GLO0114;Provence-Alpes-Côte d'Azur;provence alpes cote d azur;T4;Histoire, géographie, patrimoine et culture;LES RÉGIONS ET LES TERRITOIRES;Région située dans le sud-est de la France.;Elle est réputée pour la Méditerranée, les Alpes, Marseille, Nice et la lavande.;;"Marseille; Nice";Chapitre 2;P;M–P;"marseille; nice; provence alpes cote d azur";SCR_GLO_0114;Oui
GLO0115;Pyrénées;pyrenees;T4;Histoire, géographie, patrimoine et culture;LA GÉOGRAPHIE DE LA FRANCE;Chaîne de montagnes séparant la France et l'Espagne.;Elles forment une frontière naturelle.;;Alpes;Chapitre 2;P;M–P;"alpes; pyrenees";SCR_GLO_0115;Oui
GLO0116;Référendum;referendum;T2;Système institutionnel et politique français;LES ÉLECTIONS;Consultation permettant au peuple de répondre directement à une question.;"Les citoyens répondent généralement par ""Oui"" ou ""Non"".";;Souveraineté nationale;Chapitre 4;R;Q–S;"referendum; souverainete nationale";SCR_GLO_0116;Oui
GLO0117;Région;region;T2;Système institutionnel et politique français;COLLECTIVITÉS TERRITORIALES;La région est une collectivité territoriale regroupant plusieurs départements.;La France compte 18 régions.;;Département;Chapitre 3;R;Q–S;"departement; region";SCR_GLO_0117;Oui
GLO0118;République;republique;T1;Principes et valeurs de la République;LES PRINCIPES DE LA RÉPUBLIQUE;Organisation politique dans laquelle le pouvoir appartient au peuple et s'exerce conformément à la Constitution.;La France est une République indivisible, laïque, démocratique et sociale.;"République ≠ démocratie.
La République est une forme d'organisation de l'État.
La démocratie est une manière d'exercer le pouvoir.";"Constitution; Démocratie; Souveraineté nationale";Chapitre 1;R;Q–S;"constitution; democratie; republique; souverainete nationale";SCR_GLO_0118;Oui
GLO0119;Révolution française;revolution francaise;T4;Histoire, géographie, patrimoine et culture;L'HISTOIRE DE FRANCE;Période commencée en 1789 qui met fin à la monarchie absolue et fonde de nouveaux principes politiques.;Elle marque la naissance des valeurs républicaines modernes.;;Déclaration des droits de l'homme et du citoyen;Chapitre 1;R;Q–S;"declaration des droits de l homme et du citoyen; revolution francaise";SCR_GLO_0119;Oui
GLO0120;Salaire;salaire;T5;Vivre dans la société française;LE TRAVAIL;Somme versée par l'employeur en contrepartie du travail effectué.;Le salaire est indiqué sur la fiche de paie.;;Employeur;Chapitre 2;S;Q–S;"employeur; salaire";SCR_GLO_0120;Oui
GLO0121;Seconde Guerre mondiale;seconde guerre mondiale;T4;Histoire, géographie, patrimoine et culture;L'HISTOIRE DE FRANCE;Conflit mondial de 1939 à 1945.;La Résistance a joué un rôle important dans la libération de la France.;;Résistance;Chapitre 1;S;Q–S;"resistance; seconde guerre mondiale";SCR_GLO_0121;Oui
GLO0122;Seine;seine;T4;Histoire, géographie, patrimoine et culture;LA GÉOGRAPHIE DE LA FRANCE;Fleuve qui traverse notamment Paris avant de se jeter dans la Manche.;La Seine est l'un des principaux fleuves français.;;"Loire; Rhône";Chapitre 2;S;Q–S;"loire; rhone; seine";SCR_GLO_0122;Oui
GLO0123;Sénat;senat;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;Le Sénat est la seconde assemblée du Parlement.;Les sénateurs représentent les collectivités territoriales.;Assemblée nationale ≠ Sénat.;"Sénateur; Parlement";Chapitre 2;S;Q–S;"parlement; senat; senateur";SCR_GLO_0123;Oui
GLO0124;Sénateur;senateur;T2;Système institutionnel et politique français;LES INSTITUTIONS DE LA RÉPUBLIQUE;Le sénateur siège au Sénat.;Il participe au vote des lois.;;Sénat;Chapitre 2;S;Q–S;"senat; senateur";SCR_GLO_0124;Oui
GLO0125;Service public;service public;T5;Vivre dans la société française;LES SERVICES PUBLICS;Service assuré par une administration pour répondre aux besoins de la population.;Les services publics garantissent l'égalité d'accès pour tous.;;"Mairie; Préfecture";Chapitre 5;S;Q–S;"mairie; prefecture; service public";SCR_GLO_0125;Oui
GLO0126;Souveraineté nationale;souverainete nationale;T1;Principes et valeurs de la République;LES PRINCIPES DE LA RÉPUBLIQUE;Principe selon lequel le pouvoir appartient au peuple.;Le peuple exerce sa souveraineté par ses représentants élus et par référendum.;La souveraineté appartient au peuple et non au Président de la République.;"République; Référendum; Citoyen";Chapitre 1;S;Q–S;"citoyen; referendum; republique; souverainete nationale";SCR_GLO_0126;Oui
GLO0127;Suffrage universel;suffrage universel;T2;Système institutionnel et politique français;LES ÉLECTIONS;Mode d'élection dans lequel tous les citoyens remplissant les conditions peuvent voter.;En France, le vote est universel, égal et secret.;;Vote;Chapitre 4;S;Q–S;"suffrage universel; vote";SCR_GLO_0127;Oui
GLO0128;Sûreté;surete;T3;Droits et devoirs;LES DROITS FONDAMENTAUX;Droit d'être protégé contre les arrestations arbitraires et de bénéficier d'un procès équitable.;La justice protège les libertés individuelles.;;"Présomption d'innocence; Justice";Chapitre 1;S;Q–S;"justice; presomption d innocence; surete";SCR_GLO_0128;Oui
GLO0129;Titre de séjour;titre de sejour;T5;Vivre dans la société française;LES DÉMARCHES ADMINISTRATIVES;Document autorisant un ressortissant étranger à séjourner en France pendant une durée déterminée.;Il doit être renouvelé avant sa date d'expiration.;;Préfecture;Chapitre 5;T;T–Z;"prefecture; titre de sejour";SCR_GLO_0129;Oui
GLO0130;Tour Eiffel;tour eiffel;T4;Histoire, géographie, patrimoine et culture;LE PATRIMOINE FRANÇAIS;Monument emblématique situé à Paris, construit pour l'Exposition universelle de 1889.;Elle est l'un des symboles les plus connus de la France.;;Paris;Chapitre 3;T;T–Z;"paris; tour eiffel";SCR_GLO_0130;Oui
GLO0131;Traite des êtres humains;traite des etres humains;T3;Droits et devoirs;LES VIOLENCES;Exploitation d'une personne par la contrainte, la menace ou la tromperie.;La traite des êtres humains est un crime.;;Esclavage;Chapitre 2;T;T–Z;"esclavage; traite des etres humains";SCR_GLO_0131;Oui
GLO0132;UNESCO;unesco;T4;Histoire, géographie, patrimoine et culture;LE PATRIMOINE FRANÇAIS;Organisation des Nations unies chargée notamment de protéger le patrimoine mondial.;Plusieurs sites français sont inscrits au patrimoine mondial de l'UNESCO.;;Patrimoine;Chapitre 3;U;T–Z;"patrimoine; unesco";SCR_GLO_0132;Oui
GLO0133;Union européenne;union europeenne;T2;Système institutionnel et politique français;UNION EUROPÉENNE;Organisation regroupant plusieurs États européens qui coopèrent dans de nombreux domaines.;La France est membre de l'Union européenne.;;"Parlement européen; Euro";Chapitre 5;U;T–Z;"euro; parlement europeen; union europeenne";SCR_GLO_0133;Oui
GLO0134;Urgences;urgences;T5;Vivre dans la société française;LA SANTÉ;Situation nécessitant une prise en charge médicale immédiate.;En cas d'urgence médicale, composez le 15.;;"SAMU; Hôpital";Chapitre 1;U;T–Z;"hopital; samu; urgences";SCR_GLO_0134;Oui
GLO0135;Vercingétorix;vercingetorix;T4;Histoire, géographie, patrimoine et culture;L'HISTOIRE DE FRANCE;Chef gaulois qui s'est opposé à Jules César.;Il est devenu un symbole de la résistance gauloise.;;"Gaule; Jules César";Chapitre 1;V;T–Z;"gaule; jules cesar; vercingetorix";SCR_GLO_0135;Oui
GLO0136;Violence;violence;T3;Droits et devoirs;LES VIOLENCES;Acte portant atteinte à une personne, physiquement, psychologiquement, sexuellement ou économiquement.;Toutes les formes de violence sont interdites.;;Consentement;Chapitre 2;V;T–Z;"consentement; violence";SCR_GLO_0136;Oui
GLO0137;Vote;vote;T2;Système institutionnel et politique français;LES ÉLECTIONS;Action qui consiste à choisir un candidat ou répondre à une question lors d'un référendum.;Le vote est un droit civique.;;Élection;Chapitre 4;V;T–Z;"election; vote";SCR_GLO_0137;Oui
